Entity,Code,Year,Meningitis (deaths),Lower respiratory infections (deaths),Protein-energy malnutrition (deaths),Terrorism ,Cardiovascular,Dementia (deaths),Kidney disease (deaths),Respiratory diseases (deaths),Liver diseases (deaths),Digestive diseases (deaths),Hepatitis (deaths),Cancers,Parkinson disease (deaths),Fire (deaths),Malaria (deaths),Drowning (deaths),Homicide (deaths),HIV/AIDS (deaths),Drug use disorders (deaths),Tuberculosis (deaths),Road injuries (deaths),Maternal disorders (deaths),Neonatal disorders (deaths),Alcohol use disorders (deaths),Natural disasters (deaths),Diarrheal diseases (deaths),Heat (hot and cold exposure) (deaths),Nutritional deficiencies (deaths),Suicide (deaths),Conflict (deaths),Diabetes (deaths),Poisonings (deaths)
Bolivia,BOL,2018,167.999841,5359.620645,568.7988671,,15275,2650.846513,3165.190656,3121.972766,2215.414757,4077.542619,55.15516317,12195,478.1173167,185.3650914,5.033977053,429.2483002,684.6401546,1167.193614,148.363906,1145.357809,2127.874011,463.7290601,2825.608483,304.3446311,0,555.9781351,67.83489977,641.4932787,668.2485422,0,2902.739936,94.19795503
Bosnia and Herzegovina,BIH,2018,11.73801637,359.5947921,2.029115713,,18107,1990.592139,604.3614357,1310.164147,577.3927986,1135.887604,6.56594156,8950,324.0631163,40.8110369,0,35.31808376,82.78754481,1.535890405,28.55672093,134.6529183,268.6221253,1.972576812,87.24935144,112.5236665,0,8.647879576,3.764757773,6.120283029,311.5860589,0,2293.101339,20.27380647
Botswana,BWA,2018,71.14470578,767.6998355,78.08798024,,2548,323.0651338,264.1592645,509.6385839,187.4301363,437.8330761,7.782055373,1487,35.50823905,63.24871341,5.637665359,45.38614013,182.0012812,4101.619016,26.13302113,444.4797829,298.5742199,40.52496411,435.6281517,25.93957979,0,576.9030969,11.71929011,80.83075196,200.124418,0,668.3372697,22.90364317
Brazil,BRA,2018,2410.873723,84073.16191,6577.683781,0,388268,73418.96966,35350.11651,72745.6788,36269.33837,72555.89194,1077.746828,244969,9151.877463,1684.300349,58.47391547,6398.778036,63825.28855,15405.91557,2234.592174,5612.977933,46281.89288,2053.962633,21265.00402,10837.25859,14.00000009,6562.39921,299.0058268,7197.331951,14145.05085,0,56473.54817,386.9974767
Brunei,BRN,2018,2.793418914,91.37922137,0.30475013,,506,51.49179843,70.26507242,97.23683272,24.51924961,53.46677665,5.057587186,482,10.08476448,6.053205733,0,18.79672361,6.393473729,4.664544621,3.017177325,17.68061058,67.77911896,3.474195483,21.28854569,1.577658495,0,2.597126228,0.813769056,0.891483571,27.43354664,0,167.9381781,1.905352661
Bulgaria,BGR,2018,48.96147632,1548.602005,3.925072845,,65619,5945.338949,1446.605311,3299.200096,2043.045588,3542.792353,24.34539951,18734,831.4726347,109.2567019,0,144.7817,178.210798,54.61601828,80.19899297,114.7106686,719.3049624,11.51748789,170.0089453,103.8528076,0,25.01676662,106.4690976,9.935260278,994.7918881,0,1583.662116,46.78243907
Burkina Faso,BFA,2018,5550.537772,19168.26736,3969.797207,53,19569,1827.761302,2768.951011,2523.180152,2089.518252,5398.824861,376.6989765,11096,309.5253723,739.0031565,30574.52656,1209.92039,2171.937959,2636.82903,136.4477601,7391.083849,3496.856799,1862.527804,15357.97505,262.8703777,1.999999999,12286.09159,96.24737273,4219.155664,1507.396785,99.00000143,2817.150756,333.3166154
Burundi,BDI,2018,1493.342088,7406.638706,2547.728982,20,9011,604.975435,972.1292604,1810.876344,1718.908991,3412.164885,140.8789671,4711,92.67948491,331.2584202,8658.677469,442.6820722,62.32875986,2620.017231,28.33747464,9099.438452,2287.058498,1064.58168,7481.833873,109.8498714,6.000000005,5397.316575,28.39007879,2603.027517,697.5736703,236.9999435,1378.658818,146.2265403
Cambodia,KHM,2018,362.6007182,9865.9566,315.2763193,,24913,2659.47407,1837.909288,4428.835278,9017.617256,11445.71367,608.9230968,12663,405.3331608,255.2256622,1228.268836,1303.8612,384.0917726,1378.308629,56.74703716,2998.235127,3981.309886,425.1857104,4094.418977,194.5125716,0,1669.388135,21.15307601,363.8278545,661.193528,1,2756.124682,92.95728028
Cameroon,CMR,2018,3110.442642,16148.39842,1939.355707,228,22663,2550.461446,3248.617725,5096.262675,4080.347936,7473.625356,380.1554445,14658,455.1913828,562.1617563,22040.51773,881.8514274,728.1854353,22802.71959,547.2980642,8077.382887,4108.180424,2592.444782,13311.453,355.5957456,3.000000001,12644.01919,256.0214154,2030.930841,2171.759737,446.0000253,3597.822255,236.6199322
